Security,SPX Index,
Start Date,1/3/05 0:00,
End Date,12/31/10 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
12/31/10,1257.64,432436964
12/30/10,1257.88,346177088
12/29/10,1259.78,368344528
12/28/10,1258.51,423273279
12/27/10,1257.54,361515855
12/23/10,1256.77,457755030
12/22/10,1258.84,621290934
12/21/10,1254.6,615862522
12/20/10,1247.08,654606797
12/17/10,1243.91,1694038762
12/16/10,1242.87,791361927
12/15/10,1235.23,884344350
12/14/10,1241.59,773381785
12/13/10,1240.46,795284817
12/10/10,1240.4,759046757
12/9/10,1233,771819150
12/8/10,1228.28,866593699
12/7/10,1223.75,1372029677
12/6/10,1223.12,618218911
12/3/10,1224.71,704664645
12/2/10,1221.53,902671285
12/1/10,1206.07,892174939
11/30/10,1180.55,1130620285
11/29/10,1187.76,744732532
11/26/10,1189.4,324826574
11/24/10,1198.35,687852849
11/23/10,1180.73,843808673
11/22/10,1197.84,744674066
11/19/10,1199.73,975580586
11/18/10,1196.69,867584713
11/17/10,1178.59,775443284
11/16/10,1178.34,1073887585
11/15/10,1197.75,743468393
11/12/10,1199.21,881404198
11/11/10,1213.54,910145252
11/10/10,1218.71,868025577
11/9/10,1213.4,863733638
11/8/10,1223.25,710138418
11/5/10,1225.85,1011374655
11/4/10,1221.06,1113143443
11/3/10,1197.96,870791008
11/2/10,1193.57,703492649
11/1/10,1184.39,724909550
10/29/10,1183.26,873633183
10/28/10,1183.78,792246847
10/27/10,1182.45,832453099
10/26/10,1185.64,788295880
10/25/10,1185.62,837142524
10/22/10,1183.08,634156104
10/21/10,1180.27,855409039
10/20/10,1178.17,938531969
10/19/10,1165.9,1064816187
10/18/10,1184.71,875827777
10/15/10,1176.19,1280746409
10/14/10,1173.81,1014837903
10/13/10,1178.1,1117302020
10/12/10,1169.77,784063474
10/11/10,1165.32,649956267
10/8/10,1165.15,777532127
10/7/10,1158.06,752563887
10/6/10,1159.97,824096298
10/5/10,1160.75,1028555647
10/4/10,1137.03,783107632
10/1/10,1146.24,857395167
9/30/10,1141.2,1041293024
9/29/10,1144.73,815344311
9/28/10,1147.7,849928968
9/27/10,1142.16,721146192
9/24/10,1148.67,873701111
9/23/10,1124.83,769851180
9/22/10,1134.28,851406292
9/21/10,1139.78,910950379
9/20/10,1142.71,783273458
9/17/10,1125.59,1750583846
9/16/10,1124.66,816989392
9/15/10,1125.07,845561209
9/14/10,1121.1,815176193
9/13/10,1121.9,825240310
9/10/10,1109.55,661403430
9/9/10,1104.18,726575046
9/8/10,1098.87,777131002
9/7/10,1091.84,716890685
9/3/10,1104.51,767990129
9/2/10,1090.1,755989495
9/1/10,1080.29,998789633
8/31/10,1049.33,1245328914
8/30/10,1048.92,700431474
8/27/10,1064.59,942315368
8/26/10,1047.22,851913647
8/25/10,1055.33,928851272
8/24/10,1051.87,1013129289
8/23/10,1067.36,742986540
8/20/10,1071.69,1071489752
8/19/10,1075.63,984571920
8/18/10,1094.16,790762542
8/17/10,1092.54,828868663
8/16/10,1079.38,664423483
8/13/10,1079.25,717545057
8/12/10,1083.61,898148922
8/11/10,1089.47,984234795
8/10/10,1121.06,860040355
8/9/10,1127.79,658700475
8/6/10,1121.64,785597341
8/5/10,1125.82,697676064
8/4/10,1127.24,805762091
8/3/10,1120.46,808671050
8/2/10,1125.86,851912047
7/30/10,1101.6,1010264611
7/29/10,1101.53,1054892330
7/28/10,1106.13,847034430
7/27/10,1113.84,909904410
7/26/10,1115.01,848439068
7/23/10,1102.66,998282183
7/22/10,1093.67,1026502674
7/21/10,1069.59,1104242602
7/20/10,1083.48,969374267
7/19/10,1071.25,815156015
7/16/10,1064.88,1362014645
7/15/10,1096.48,969895206
7/14/10,1095.17,930119553
7/13/10,1095.34,960243574
7/12/10,1078.75,702811691
7/9/10,1077.96,731180409
7/8/10,1070.24,964093313
7/7/10,1060.27,1073562874
7/6/10,1028.06,1047473660
7/2/10,1022.58,917146669
7/1/10,1027.37,1333801820
6/30/10,1030.71,1176327865
6/29/10,1041.24,1366131777
6/28/10,1074.57,787348178
6/25/10,1076.77,1791763192
6/24/10,1073.69,1086662942
6/23/10,1092.04,926644124
6/22/10,1095.31,893640628
6/21/10,1113.2,845958099
6/18/10,1117.51,1453696221
6/17/10,1116.04,899776653
6/16/10,1114.61,841676866
6/15/10,1115.23,958364790
6/14/10,1089.63,872105299
6/11/10,1091.6,858246437
6/10/10,1086.84,1097568475
6/9/10,1055.69,1386307341
6/8/10,1062,1361741061
6/7/10,1050.47,1184309569
6/4/10,1064.88,1352274532
6/3/10,1102.83,985489953
6/2/10,1098.38,1067505543
6/1/10,1070.71,1146078879
5/28/10,1089.41,1192073000
5/27/10,1103.06,1161988634
5/26/10,1067.95,1543742466
5/25/10,1074.03,1506747050
5/24/10,1073.65,1069610577
5/21/10,1087.69,2018058359
5/20/10,1071.59,1721768661
5/19/10,1115.05,1319879855
5/18/10,1120.8,1257466454
5/17/10,1136.94,1152078475
5/14/10,1135.68,1271585779
5/13/10,1157.44,980349788
5/12/10,1171.67,1041861061
5/11/10,1155.79,1195552603
5/10/10,1159.73,1560248272
5/7/10,1110.89,2034928447
5/6/10,1128.15,2138304834
5/5/10,1165.9,1204778691
5/4/10,1173.6,1247928485
5/3/10,1202.26,912223263
4/30/10,1186.69,1295452004
4/29/10,1206.78,1122439385
4/28/10,1191.36,1250007574
4/27/10,1183.71,1375200381
4/26/10,1212.05,1025713266
4/23/10,1217.28,1063416742
4/22/10,1208.67,1174397058
4/21/10,1205.95,1119061360
4/20/10,1207.18,972097124
4/19/10,1197.52,1073313773
4/16/10,1192.13,1618626903
4/15/10,1211.67,1041556429
4/14/10,1210.65,1038909466
4/13/10,1197.3,861669349
4/12/10,1196.48,738704942
4/9/10,1194.37,789572804
4/8/10,1186.44,893360482
4/7/10,1182.45,956593958
4/6/10,1189.44,778111750
4/5/10,1187.44,711042517
4/1/10,1178.1,791801905
3/31/10,1169.43,954238913
3/30/10,1173.27,767670140
3/29/10,1173.22,780476631
3/26/10,1166.59,869289898
3/25/10,1165.73,1039420957
3/24/10,1167.72,883759469
3/23/10,1174.17,866236185
3/22/10,1165.81,830603712
3/19/10,1159.9,1771082363
3/18/10,1165.83,800164989
3/17/10,1166.21,870344780
3/16/10,1159.46,914849271
3/15/10,1150.51,825202491
3/12/10,1149.99,915445572
3/11/10,1150.24,865483705
3/10/10,1145.61,1025463298
3/9/10,1140.45,1011419037
3/8/10,1138.51,785659791
3/5/10,1138.7,879058799
3/4/10,1122.97,830459389
3/3/10,1118.79,844131796
3/2/10,1118.31,944722153
3/1/10,1115.71,832179666
2/26/10,1104.49,1044849236
2/25/10,1102.94,993061547
2/24/10,1105.24,879434988
2/23/10,1094.6,916266674
2/22/10,1108.02,826221850
2/19/10,1109.17,1065557041
2/18/10,1106.75,836878079
2/17/10,1099.51,899924464
2/16/10,1094.87,958023746
2/12/10,1075.51,1182201930
2/11/10,1078.47,943255388
2/10/10,1068.14,910641952
2/9/10,1070.52,1075998031
2/8/10,1056.74,991747238
2/5/10,1066.19,1378452019
2/4/10,1063.11,1347771900
2/3/10,1097.28,986621166
2/2/10,1103.32,1067251163
2/1/10,1089.19,942727674
1/29/10,1073.87,1520033548
1/28/10,1084.53,1139127021
1/27/10,1097.5,1210422108
1/26/10,1092.17,1074218474
1/25/10,1096.79,967307345
1/22/10,1091.76,1373384830
1/21/10,1116.48,1382307818
1/20/10,1138.04,949734441
1/19/10,1150.23,913132905
1/15/10,1136.03,1376294105
1/14/10,1148.46,836205708
1/13/10,1145.68,853938725
1/12/10,1136.22,965739395
1/11/10,1146.98,811212697
1/8/10,1144.98,870709742
1/7/10,1141.7,1067775243
1/6/10,1137.14,926270888
1/5/10,1136.52,981344126
1/4/10,1132.98,830387286
12/31/09,1115.1,552224846
12/30/09,1126.42,504974624
12/29/09,1126.2,488743351
12/28/09,1127.78,561135482
12/24/09,1126.48,260838462
12/23/09,1120.59,631468188
12/22/09,1118.02,741381754
12/21/09,1114.05,847157732
12/18/09,1102.47,2775623839
12/17/09,1096.08,1560949960
12/16/09,1109.18,1036970289
12/15/09,1107.93,1005692036
12/14/09,1114.11,910298194
12/11/09,1106.41,820863712
12/10/09,1102.35,905672876
12/9/09,1095.95,916806209
12/8/09,1091.94,1005637600
12/7/09,1103.25,899255409
12/4/09,1105.98,1334208332
12/3/09,1099.92,988469784
12/2/09,1109.23,838146465
12/1/09,1108.86,936759480
11/30/09,1095.63,1086327973
11/27/09,1091.49,557789571
11/25/09,1110.63,647635681
11/24/09,1105.65,813442909
11/23/09,1106.24,838088948
11/20/09,1091.38,1061544115
11/19/09,1094.9,992737145
11/18/09,1109.8,885898139
11/17/09,1110.32,805275159
11/16/09,1109.3,984051553
11/13/09,1093.48,831259559
11/12/09,1087.24,879401720
11/11/09,1098.51,866755197
11/10/09,1093.01,917786584
11/9/09,1093.08,1049545477
11/6/09,1069.3,907303868
11/5/09,1066.63,1091358474
11/4/09,1046.5,1102476411
11/3/09,1045.41,1143373915
11/2/09,1042.88,1232794187
10/30/09,1036.2,1395616261
10/29/09,1066.11,1204385864
10/28/09,1042.63,1358246669
10/27/09,1063.42,1170124549
10/26/09,1066.95,1206175606
10/23/09,1079.6,1161727777
10/22/09,1092.91,1157158984
10/21/09,1081.4,1244100958
10/20/09,1091.06,1058761683
10/19/09,1097.91,901847723
10/16/09,1087.68,1257659026
10/15/09,1096.56,1176750413
10/14/09,1092.02,1176218403
10/13/09,1073.19,992593560
10/12/09,1076.19,816025997
10/9/09,1071.49,843416364
10/8/09,1065.48,1056365453
10/7/09,1057.59,903040389
10/6/09,1054.72,1060573400
10/5/09,1040.46,942523646
10/2/09,1025.21,1165815471
10/1/09,1029.85,1375172106
9/30/09,1057.08,1546486668
9/29/09,1060.61,937649631
9/28/09,1062.98,824589347
9/25/09,1044.38,986893903
9/24/09,1050.78,1100840637
9/23/09,1060.87,1134802137
9/22/09,1071.66,1082273549
9/21/09,1064.66,1033266369
9/18/09,1068.3,2104864392
9/17/09,1065.48,1288695394
9/16/09,1068.76,1377147758
9/15/09,1052.63,1326054506
9/14/09,1049.34,1058281551
9/11/09,1042.73,1064455219
9/10/09,1044.14,1337713942
9/9/09,1033.37,1048847184
9/8/09,1025.39,1088609306
9/4/09,1016.4,828050945
9/3/09,1003.24,985837240
9/2/09,994.75,1085437004
9/1/09,998.04,1390988607
8/31/09,1020.63,1117637331
8/28/09,1028.93,1088675435
8/27/09,1030.98,957017697
8/26/09,1028.12,840516884
