Security,DAX Index,
Start Date,10/1/59 0:00,
End Date,4/9/24 0:00,
Period,D,
Currency,EUR,
,,
Date,PX_LAST,PX_VOLUME
2024-04-09,18076.69,65276362
2024-04-08,18318.97,61073592
2024-04-05,18175.04,77046453
2024-04-04,18403.13,62521364
2024-04-03,18367.72,76334922
2024-04-02,18283.13,82077313
2024-03-28,18492.49,75716311
2024-03-27,18477.09,66344721
2024-03-26,18384.35,58786611
2024-03-25,18261.31,53804554
2024-03-22,18205.94,68616299
2024-03-21,18179.25,79118519
2024-03-20,18015.13,61710972
2024-03-19,17987.49,73421086
2024-03-18,17932.68,63024331
2024-03-15,17936.65,202910601
2024-03-14,17942.04,93590593
2024-03-13,17961.38,92880522
2024-03-12,17965.11,91388331
2024-03-11,17746.27,66646428
2024-03-08,17814.51,67940306
2024-03-07,17842.85,86702844
2024-03-06,17716.71,91487746
2024-03-05,17698.4,74178421
2024-03-04,17716.17,61601753
2024-03-01,17735.07,85782633
2024-02-29,17678.19,102738482
2024-02-28,17601.22,56644524
2024-02-27,17556.49,59725375
2024-02-26,17423.23,53156354
2024-02-23,17419.33,76799665
2024-02-22,17370.45,86130509
2024-02-21,17118.12,59403808
2024-02-20,17068.43,62710727
2024-02-19,17092.26,43224682
2024-02-16,17117.44,76375515
2024-02-15,17046.69,83791058
2024-02-14,16945.48,53717332
2024-02-13,16880.83,62956682
2024-02-12,17037.35,53286475
2024-02-09,16926.5,61639663
2024-02-08,16963.83,67419311
2024-02-07,16921.96,93039747
2024-02-06,17033.24,75544203
2024-02-05,16904.06,69935700
2024-02-02,16918.21,85847276
2024-02-01,16859.04,89451411
2024-01-31,16903.76,84388517
2024-01-30,16972.34,61107468
2024-01-29,16941.71,65956639
2024-01-26,16961.39,84664223
2024-01-25,16906.92,62016673
2024-01-24,16889.92,74569155
2024-01-23,16627.09,64365633
2024-01-22,16683.36,67438713
2024-01-19,16555.13,66146838
2024-01-18,16567.35,72318642
2024-01-17,16431.69,71437814
2024-01-16,16571.68,73101889
2024-01-15,16622.22,47794981
2024-01-12,16704.56,62163037
2024-01-11,16547.03,72206754
2024-01-10,16689.81,61300898
2024-01-09,16688.36,59798524
2024-01-08,16716.47,55073386
2024-01-05,16594.21,66762924
2024-01-04,16617.29,65869366
2024-01-03,16538.39,70845820
2024-01-02,16769.36,59893348
2023-12-29,16751.64,26861904
2023-12-28,16701.55,36091618
2023-12-27,16742.07,37678895
2023-12-22,16706.18,46295273
2023-12-21,16687.42,57871291
2023-12-20,16733.05,63366449
2023-12-19,16744.41,59217466
2023-12-18,16650.55,56720396
2023-12-15,16751.44,173711503
2023-12-14,16752.23,141290060
2023-12-13,16766.05,65413494
2023-12-12,16791.74,67862472
2023-12-11,16794.43,66736111
2023-12-08,16759.22,77814459
2023-12-07,16628.99,76803178
2023-12-06,16656.44,78581656
2023-12-05,16533.11,63915988
2023-12-04,16404.76,52149257
2023-12-01,16397.52,68139436
2023-11-30,16215.43,108532142
2023-11-29,16166.45,69366637
2023-11-28,15992.67,60601095
2023-11-27,15966.37,50564849
2023-11-24,16029.49,46227556
2023-11-23,15994.73,38717432
2023-11-22,15957.82,58757833
2023-11-21,15900.53,70926934
2023-11-20,15901.33,93605502
2023-11-17,15919.16,81125753
2023-11-16,15786.61,68438904
2023-11-15,15748.17,91670689
2023-11-14,15614.43,98894410
2023-11-13,15345,65170426
2023-11-10,15234.39,77014105
2023-11-09,15352.54,68377098
2023-11-08,15229.6,107586702
2023-11-07,15152.64,62049642
2023-11-06,15135.97,59212464
2023-11-03,15189.25,93603763
2023-11-02,15143.6,89446490
2023-11-01,14923.27,63588671
2023-10-31,14810.34,75370204
2023-10-30,14716.54,76178961
2023-10-27,14687.41,86539168
2023-10-26,14731.05,121803617
