Security,UKX Index,
Start Date,12/30/83 0:00,
End Date,4/9/24 0:00,
Period,D,
Currency,GBP,
,,
Date,PX_LAST,PX_VOLUME
2024-04-09,7934.79,608013546
2024-04-08,7943.47,530136693
2024-04-05,7911.16,607223997
2024-04-04,7975.89,670294265
2024-04-03,7937.44,705154763
2024-04-02,7935.09,672698000
2024-04-01,#N/A N/A,2
2024-03-28,7952.62,746635359
2024-03-27,7931.98,580869263
2024-03-26,7930.96,570669192
2024-03-25,7917.57,579456072
2024-03-22,7930.92,727104048
2024-03-21,7882.55,789013317
2024-03-20,7737.38,535954554
2024-03-19,7738.3,627451884
2024-03-18,7722.55,497197643
2024-03-15,7727.42,2045170303
2024-03-14,7743.15,629234428
2024-03-13,7772.17,678579885
2024-03-12,7747.81,733326025
2024-03-11,7669.23,571295901
2024-03-08,7659.74,650168213
2024-03-07,7692.46,751366831
2024-03-06,7679.31,670727338
2024-03-05,7646.16,590166862
2024-03-04,7640.33,610780567
2024-03-01,7682.5,647139069
2024-02-29,7630.02,1378749347
2024-02-28,7624.98,681761142
2024-02-27,7683.02,578383611
2024-02-26,7684.3,624867461
2024-02-23,7706.28,650074969
2024-02-22,7684.49,849452840
2024-02-21,7662.51,612897597
2024-02-20,7719.21,626487453
2024-02-19,7728.5,351157713
2024-02-16,7711.71,696959935
2024-02-15,7597.53,539758696
2024-02-14,7568.4,481985603
2024-02-13,7512.28,585828336
2024-02-12,7573.69,466491898
2024-02-09,7572.58,495099096
2024-02-08,7595.48,512854388
2024-02-07,7628.75,540253709
2024-02-06,7681.01,538156428
2024-02-05,7612.86,525253239
2024-02-02,7615.54,488705723
2024-02-01,7622.16,502301678
2024-01-31,7630.57,680752088
2024-01-30,7666.31,478188015
2024-01-29,7632.74,390057403
2024-01-26,7635.09,521346392
2024-01-25,7529.73,527335540
2024-01-24,7527.67,532785174
2024-01-23,7485.73,486870012
2024-01-22,7487.71,431254523
2024-01-19,7461.93,539664578
2024-01-18,7459.09,543122212
2024-01-17,7446.29,604031616
2024-01-16,7558.34,467617201
2024-01-15,7594.91,365112177
2024-01-12,7624.93,493791654
2024-01-11,7576.59,581677962
2024-01-10,7651.76,409008919
2024-01-09,7683.96,348657668
2024-01-08,7694.19,399731824
2024-01-05,7689.61,399553804
2024-01-04,7723.07,484900453
2024-01-03,7682.33,420329005
2024-01-02,7721.52,378955026
2023-12-29,7733.24,185807251
2023-12-28,7722.74,269718124
2023-12-27,7724.95,337842110
2023-12-22,7697.51,216679964
2023-12-21,7694.73,348424373
2023-12-20,7715.68,538669863
2023-12-19,7638.03,400806257
2023-12-18,7614.48,453216944
2023-12-15,7576.36,1334948399
2023-12-14,7648.98,841004076
2023-12-13,7548.44,628707197
2023-12-12,7542.77,631402161
2023-12-11,7544.89,480938089
2023-12-08,7554.47,532080974
2023-12-07,7513.72,515718182
2023-12-06,7515.38,636831900
2023-12-05,7489.84,488104392
2023-12-04,7512.96,533479660
2023-12-01,7529.35,499692564
2023-11-30,7453.75,1254794319
2023-11-29,7423.46,477803854
2023-11-28,7455.24,496529063
2023-11-27,7460.7,374839606
2023-11-24,7488.2,345470464
2023-11-23,7483.58,318416642
2023-11-22,7469.51,520899190
2023-11-21,7481.99,428013785
2023-11-20,7496.36,369502393
2023-11-17,7504.25,512820695
2023-11-16,7410.97,465726430
2023-11-15,7486.91,619983014
2023-11-14,7440.47,598248057
2023-11-13,7425.83,407561773
2023-11-10,7360.55,402879361
2023-11-09,7455.67,471335970
2023-11-08,7401.72,552444556
2023-11-07,7410.04,451412164
2023-11-06,7417.76,418074435
2023-11-03,7417.73,610091149
2023-11-02,7446.53,665921723
2023-11-01,7342.43,521602457
2023-10-31,7321.72,612150977
2023-10-30,7327.39,460778562
2023-10-27,7291.28,565691904
2023-10-26,7354.57,544326716
2023-10-25,7414.34,515602557
2023-10-24,7389.7,582262787
2023-10-23,7374.83,474066990
2023-10-20,7402.14,718783734
2023-10-19,7499.53,556321095
2023-10-18,7588,451550574
2023-10-17,7675.21,463527876
2023-10-16,7630.63,394738769
2023-10-13,7599.6,536098811
2023-10-12,7644.78,528697670
2023-10-11,7620.03,473950485
2023-10-10,7628.21,517280180
2023-10-09,7492.21,455226223
2023-10-06,7494.58,489865069
2023-10-05,7451.54,512904181
2023-10-04,7412.45,582562768
2023-10-03,7470.16,490703371
2023-10-02,7510.72,477578643
2023-09-29,7608.08,605872351
2023-09-28,7601.85,560092391
2023-09-27,7593.22,487634504
2023-09-26,7625.72,493152276
2023-09-25,7623.99,454477215
2023-09-22,7683.91,838196287
2023-09-21,7678.62,601722056
2023-09-20,7731.65,618501820
2023-09-19,7660.2,469108210
2023-09-18,7652.94,391879531
2023-09-15,7711.38,1781747580
2023-09-14,7673.08,669692508
2023-09-13,7525.99,584759887
2023-09-12,7527.53,591388618
2023-09-11,7496.87,508333296
2023-09-08,7478.19,405346955
2023-09-07,7441.72,406919315
2023-09-06,7426.14,419519434
2023-09-05,7437.93,377567305
2023-09-04,7452.76,306981043
2023-09-01,7464.54,385346752
2023-08-31,7439.13,1121001584
2023-08-30,7473.67,365326869
2023-08-29,7464.99,498803963
2023-08-25,7338.58,333194461
2023-08-24,7333.63,366137308
2023-08-23,7320.53,465592679
2023-08-22,7270.76,406202080
2023-08-21,7257.82,400992151
2023-08-18,7262.43,526821373
2023-08-17,7310.21,402761994
2023-08-16,7356.88,427120178
2023-08-15,7389.64,443255972
