Security,HSI Index,
Start Date,7/31/64 0:00,
End Date,4/9/24 0:00,
Period,D,
Currency,HKD,
,,
Date,PX_LAST,PX_VOLUME
2024-04-09,16828.07,2120056885
2024-04-08,16732.85,2636773016
2024-04-05,16723.92,1804396095
2024-04-03,16725.1,2667363213
2024-04-02,16931.52,3983141328
2024-03-28,16541.42,3203421259
2024-03-27,16392.84,2769889587
2024-03-26,16618.32,2745765737
2024-03-25,16473.64,2624506464
2024-03-22,16499.47,3110411499
2024-03-21,16863.1,3220967121
2024-03-20,16543.07,2291672572
2024-03-19,16529.48,2433582887
2024-03-18,16737.12,2241776825
2024-03-15,16720.89,3776694213
2024-03-14,16961.66,2699096373
2024-03-13,17082.11,2801014022
2024-03-12,17093.5,4001753000
2024-03-11,16587.57,2494031008
2024-03-08,16353.39,2596313293
2024-03-07,16229.78,2535414334
2024-03-06,16438.09,2488701083
2024-03-05,16162.64,2697889480
2024-03-04,16595.97,2519017890
2024-03-01,16589.44,2880658545
2024-02-29,16511.44,3380825475
2024-02-28,16536.85,2587721752
2024-02-27,16790.8,2423909616
2024-02-26,16634.74,2253549698
2024-02-23,16725.86,2903143800
2024-02-22,16742.95,2739673183
2024-02-21,16503.1,3844263020
2024-02-20,16247.51,2205924383
2024-02-19,16155.61,2185820794
2024-02-16,16339.96,1742961115
2024-02-15,15944.63,1056900197
2024-02-14,15879.38,1403032775
2024-02-09,15746.58,745466364
2024-02-08,15878.07,1940615107
2024-02-07,16081.89,2809645103
2024-02-06,16136.87,3314171062
2024-02-05,15510.01,2313277264
2024-02-02,15533.56,2475955192
2024-02-01,15566.21,2454568093
2024-01-31,15485.07,2594937768
2024-01-30,15703.45,2565524380
2024-01-29,16077.24,2923198783
2024-01-26,15952.23,3314021466
2024-01-25,16211.96,4096404839
2024-01-24,15899.87,3597683499
2024-01-23,15353.98,2804009734
2024-01-22,14961.18,2812384587
2024-01-19,15308.69,2242257298
2024-01-18,15391.79,2815986969
2024-01-17,15276.9,3952310089
2024-01-16,15865.92,2139164067
2024-01-15,16216.33,1368415387
2024-01-12,16244.58,1534599847
2024-01-11,16302.04,1970866134
2024-01-10,16097.28,1788113657
2024-01-09,16190.02,1937380474
2024-01-08,16224.45,2227171994
2024-01-05,16535.33,1936599807
2024-01-04,16645.98,1789349314
2024-01-03,16646.41,1577461730
2024-01-02,16788.55,1720670039
2023-12-29,17047.39,1570052952
2023-12-28,17043.53,2301329436
2023-12-27,16624.84,2228051277
2023-12-22,16340.41,2197553914
2023-12-21,16621.13,1404417159
2023-12-20,16613.81,1647320742
2023-12-19,16505,1521452777
2023-12-18,16629.23,1566620008
2023-12-15,16792.19,3900268458
2023-12-14,16402.19,2341652020
2023-12-13,16228.75,1863333081
2023-12-12,16374.5,1980791715
2023-12-11,16201.49,2532290566
2023-12-08,16334.37,1877235665
2023-12-07,16345.89,1947345737
2023-12-06,16463.26,1986768949
2023-12-05,16327.86,2682379652
2023-12-04,16646.05,2476132316
2023-12-01,16830.3,2434410769
2023-11-30,17042.88,3013993347
2023-11-29,16993.44,2810136524
2023-11-28,17354.14,1785765457
2023-11-27,17525.06,1502728346
2023-11-24,17559.42,1298211805
2023-11-23,17910.84,1671974330
2023-11-22,17734.6,1235837733
2023-11-21,17733.89,2090432208
2023-11-20,17778.07,1964565561
2023-11-17,17454.19,1945034778
2023-11-16,17832.82,1880199422
2023-11-15,18079,2908679690
2023-11-14,17396.86,1449317955
2023-11-13,17426.21,1440269453
2023-11-10,17203.26,1674484513
2023-11-09,17511.29,1643795487
2023-11-08,17568.46,2140777848
2023-11-07,17670.16,1971243282
2023-11-06,17966.59,2764092067
2023-11-03,17664.12,1998722413
2023-11-02,17230.59,1802714567
2023-11-01,17101.78,1529284037
2023-10-31,17112.48,2112803502
2023-10-30,17406.36,2665231306
2023-10-27,17398.73,2452090259
2023-10-26,17044.61,1967215933
2023-10-25,17085.33,2499934148
2023-10-24,16991.53,2116174037
2023-10-20,17172.13,1989910722
2023-10-19,17295.89,2272465515
2023-10-18,17732.52,1937541157
2023-10-17,17773.34,1730954866
2023-10-16,17640.36,1904582496
2023-10-13,17813.45,2139651209
2023-10-12,18238.21,3861574899
2023-10-11,17893.1,2029133726
2023-10-10,17664.73,1596847248
2023-10-09,17517.4,1221298004
2023-10-06,17485.98,1141209956
2023-10-05,17213.87,1088259898
2023-10-04,17195.84,1294655037
2023-10-03,17331.22,2102883980
2023-09-29,17809.66,1839910280
2023-09-28,17373.03,1997138803
2023-09-27,17611.87,1571624327
2023-09-26,17466.9,1909387125
2023-09-25,17729.29,1552391293
2023-09-22,18057.45,1924148893
2023-09-21,17655.41,2046449633
2023-09-20,17885.6,1657120136
2023-09-19,17997.17,1778221775
2023-09-18,17930.55,1691546499
2023-09-15,18182.89,2781390650
2023-09-14,18047.92,2013840823
2023-09-13,18009.22,1865961167
2023-09-12,18025.89,1887139100
2023-09-11,18096.45,2522422854
2023-09-07,18202.07,2123306878
2023-09-06,18449.98,2352887717
2023-09-05,18456.91,2315663850
2023-09-04,18844.16,5736450584
2023-08-31,18382.06,4074881200
2023-08-30,18482.86,3288670871
2023-08-29,18484.03,3071235602
2023-08-28,18130.74,2985842233
2023-08-25,17956.38,2467696811
2023-08-24,18212.17,2758913229
2023-08-23,17845.92,2499731880
2023-08-22,17791.01,2895653766
2023-08-21,17623.29,3141863931
2023-08-18,17950.85,3049414028
2023-08-17,18326.63,3160942881
2023-08-16,18329.3,2823625498
2023-08-15,18581.11,2668372248
2023-08-14,18773.55,3890510412
2023-08-11,19075.19,3363828329
2023-08-10,19248.26,2598340581
2023-08-09,19246.03,2264244810
2023-08-08,19184.17,3491048539
2023-08-07,19537.92,2277019443
2023-08-04,19539.46,2771467657
2023-08-03,19420.87,2488071379
2023-08-02,19517.38,2958227787
2023-08-01,20011.12,3013635305
2023-07-31,20078.94,4327872976
2023-07-28,19916.56,3094859925
2023-07-27,19639.11,3028767060
2023-07-26,19365.14,2136512594
2023-07-25,19434.4,3670886970
2023-07-24,18668.15,2212871929
2023-07-21,19075.26,1637013177
2023-07-20,18928.02,1807926370
2023-07-19,18952.31,1982969595
2023-07-18,19015.72,2591229609
2023-07-14,19413.78,2460070681
2023-07-13,19350.62,2729756509
2023-07-12,18860.95,1818311762
2023-07-11,18659.83,2114932416
2023-07-10,18479.72,1953461512
2023-07-07,18365.7,2463266084
2023-07-06,18533.05,3277132317
2023-07-05,19110.38,2432611137
2023-07-04,19415.68,1987401186
2023-07-03,19306.59,2214447466
2023-06-30,18916.43,1869555186
2023-06-29,18934.36,1690353429
2023-06-28,19172.05,1675196466
2023-06-27,19148.13,2059536319
2023-06-26,18794.13,2066052198
2023-06-23,18889.97,1689313416
2023-06-21,19218.35,1995615884
2023-06-20,19607.08,2121671909
2023-06-19,19912.89,1906054327
2023-06-16,20040.37,3582368688
2023-06-15,19828.92,2657480308
