Security,NKY Index,
Start Date,1/5/70 0:00,
End Date,4/9/24 0:00,
Period,D,
Currency,JPY,
,,
Date,PX_LAST,PX_VOLUME
2024-04-09,39773.13,1059208200
2024-04-08,39347.04,1083013500
2024-04-05,38992.08,1295623800
2024-04-04,39773.14,1451455000
2024-04-03,39451.85,1231752000
2024-04-02,39838.91,1157958300
2024-04-01,39803.09,1345112200
2024-03-29,40369.44,1219796000
2024-03-28,40168.07,1356287300
2024-03-27,40762.73,1213124100
2024-03-26,40398.03,1013657500
2024-03-25,40414.12,1014820700
2024-03-22,40888.43,1360973800
2024-03-21,40815.66,1571822800
2024-03-19,40003.6,1346938500
2024-03-18,39740.44,1287378600
2024-03-15,38707.64,1670979600
2024-03-14,38807.38,1110684100
2024-03-13,38695.97,1053540900
2024-03-12,38797.51,1129334400
2024-03-11,38820.49,1329198100
2024-03-08,39688.94,1433393400
2024-03-07,39598.71,1371719700
2024-03-06,40090.78,1129197400
2024-03-05,40097.63,1152271800
2024-03-04,40109.23,1194477600
2024-03-01,39910.82,1227737800
2024-02-29,39166.19,1659909100
2024-02-28,39208.03,1199285300
2024-02-27,39239.52,1190951500
2024-02-26,39233.71,1256927200
2024-02-22,39098.68,1229256700
2024-02-21,38262.16,1047198500
2024-02-20,38363.61,1084835500
2024-02-19,38470.38,1020209500
2024-02-16,38487.24,1517174400
2024-02-15,38157.94,1299949600
2024-02-14,37703.32,1202744700
2024-02-13,37963.97,1405041400
2024-02-09,36897.42,1467661200
2024-02-08,36863.28,1509862600
2024-02-07,36119.92,1265212600
2024-02-06,36160.66,1346890000
2024-02-05,36354.16,1305294300
2024-02-02,36158.02,1148216200
2024-02-01,36011.46,1181349500
2024-01-31,36286.71,1110953100
2024-01-30,36065.86,878993700
2024-01-29,36026.94,955087900
2024-01-26,35751.07,1096375500
2024-01-25,36236.47,945903600
2024-01-24,36226.48,1086274000
2024-01-23,36517.57,1114940200
2024-01-22,36546.95,1000024300
2024-01-19,35963.27,1041182700
2024-01-18,35466.17,1002855400
2024-01-17,35477.75,1395160800
2024-01-16,35619.18,1034464700
2024-01-15,35901.79,1056762100
2024-01-12,35577.11,1292269800
2024-01-11,35049.86,1300586200
2024-01-10,34441.72,1059849400
2024-01-09,33763.18,1120661200
2024-01-05,33377.42,1153316400
2024-01-04,33288.29,1172838900
2023-12-29,33464.17,890361000
2023-12-28,33539.62,733097700
2023-12-27,33681.24,936832600
2023-12-26,33305.85,682656200
2023-12-25,33254.03,589428900
2023-12-22,33169.05,894128200
2023-12-21,33140.47,955774300
2023-12-20,33675.94,1179504200
2023-12-19,33219.39,1063089500
2023-12-18,32758.98,1068776800
2023-12-15,32970.55,1410976700
2023-12-14,32686.25,1333509700
2023-12-13,32926.35,999523300
2023-12-12,32843.7,980674200
2023-12-11,32791.8,1057756000
2023-12-08,32307.86,1441590000
2023-12-07,32858.31,1051260100
2023-12-06,33445.9,912044100
2023-12-05,32775.82,860877700
2023-12-04,33231.27,873018900
2023-12-01,33431.51,875985100
2023-11-30,33486.89,1521572000
2023-11-29,33321.22,892289900
2023-11-28,33408.39,840971300
2023-11-27,33447.67,827176600
2023-11-24,33625.53,806945800
2023-11-22,33451.83,756229000
2023-11-21,33354.14,919152200
2023-11-20,33388.03,948797800
2023-11-17,33585.2,932137000
2023-11-16,33424.41,941901900
2023-11-15,33519.7,1237757700
2023-11-14,32695.93,880914900
2023-11-13,32585.11,905949800
2023-11-10,32568.11,1112712900
2023-11-09,32646.46,1155451300
2023-11-08,32166.48,1561834600
2023-11-07,32271.82,1067055200
2023-11-06,32708.48,1393639100
2023-11-02,31949.89,1210666900
2023-11-01,31601.65,1300571700
2023-10-31,30858.85,1343477700
2023-10-30,30696.96,1869959900
2023-10-27,30991.69,891074500
2023-10-26,30601.78,855527600
2023-10-25,31269.92,786639800
2023-10-24,31062.35,979025100
2023-10-23,30999.55,735271200
2023-10-20,31259.36,845409700
2023-10-19,31430.62,807307500
2023-10-18,32042.25,832032700
2023-10-17,32040.29,756178300
2023-10-16,31659.03,845123400
2023-10-13,32315.99,915446600
2023-10-12,32494.66,1005636500
2023-10-11,31936.51,895066900
2023-10-10,31746.53,1010284000
2023-10-06,30994.67,945586500
2023-10-05,31075.36,1141912200
2023-10-04,30526.88,1371579800
2023-10-03,31237.94,1096031800
2023-10-02,31759.88,1048864500
2023-09-29,31857.62,1320335900
2023-09-28,31872.52,1159057200
2023-09-27,32371.9,1055881300
2023-09-26,32315.05,864558400
2023-09-25,32678.62,821085400
2023-09-22,32402.41,1097926500
2023-09-21,32571.03,1078851000
2023-09-20,33023.78,1134617600
2023-09-19,33242.59,1171595900
2023-09-15,33533.09,1665830900
2023-09-14,33168.1,1121042100
2023-09-13,32706.52,981452600
2023-09-12,32776.37,939801600
2023-09-11,32467.76,842193300
2023-09-08,32606.84,1140516800
2023-09-07,32991.08,1001681100
2023-09-06,33241.02,941904600
2023-09-05,33036.76,913445000
2023-09-04,32939.18,895594600
2023-09-01,32710.62,884327400
2023-08-31,32619.34,1146024000
2023-08-30,32333.46,891067500
2023-08-29,32226.97,774842000
2023-08-28,32169.99,699218000
2023-08-25,31624.28,656795200
2023-08-24,32287.21,733959100
2023-08-23,32010.26,650504100
2023-08-22,31856.71,701804200
2023-08-21,31565.64,695107500
2023-08-18,31450.76,748078600
2023-08-17,31626,877123600
2023-08-16,31766.82,848351100
2023-08-15,32238.89,751178300
2023-08-14,32059.91,955585500
2023-08-10,32473.65,1079986300
2023-08-09,32204.33,1044872700
2023-08-08,32377.29,917844900
2023-08-07,32254.56,941083100
2023-08-04,32192.75,1066209600
2023-08-03,32159.28,1203403900
2023-08-02,32707.69,1242018500
2023-08-01,33476.58,1107576100
2023-07-31,33172.22,1342940800
2023-07-28,32759.23,1705002700
2023-07-27,32891.16,909018400
2023-07-26,32668.34,851682700
2023-07-25,32682.51,1010268700
2023-07-24,32700.94,834980300
2023-07-21,32304.25,793858600
2023-07-20,32490.52,755997000
2023-07-19,32896.03,818995400
2023-07-18,32493.89,811117700
2023-07-14,32391.26,902827600
2023-07-13,32419.33,777770800
2023-07-12,31943.93,883889600
2023-07-11,32203.57,871600800
2023-07-10,32189.73,1011654000
2023-07-07,32388.42,1050562700
2023-07-06,32773.02,1005548700
2023-07-05,33338.7,951326200
2023-07-04,33422.52,993713500
2023-07-03,33753.33,953903000
2023-06-30,33189.04,1112581300
2023-06-29,33234.14,1178914900
2023-06-28,33193.99,911142900
2023-06-27,32538.33,795823600
2023-06-26,32698.81,740739200
2023-06-23,32781.54,1036405600
2023-06-22,33264.88,946653500
2023-06-21,33575.14,820003300
2023-06-20,33388.91,824130300
2023-06-19,33370.42,829084900
2023-06-16,33706.08,1320441300
2023-06-15,33485.49,1058175100
2023-06-14,33502.42,1115542000
2023-06-13,33018.65,894530100
2023-06-12,32434,687045400
2023-06-09,32265.17,1015282600
2023-06-08,31641.27,860403600
2023-06-07,31913.74,1119412300
2023-06-06,32506.78,824786900
2023-06-05,32217.43,988367900
2023-06-02,31524.22,906562000
2023-06-01,31148.01,950903500
2023-05-31,30887.88,1845848500
2023-05-30,31328.16,718453100
2023-05-29,31233.54,783278700
2023-05-26,30916.31,783488100
2023-05-25,30801.13,839875400
2023-05-24,30682.68,817090300
2023-05-23,30957.77,921619800
2023-05-22,31086.82,753937300
2023-05-19,30808.35,805277100
2023-05-18,30573.93,904857100
2023-05-17,30093.59,930835700
2023-05-16,29842.99,1073921100
2023-05-15,29626.34,885873500
2023-05-12,29388.3,1060843600
2023-05-11,29126.72,822074300
2023-05-10,29122.18,872759400
2023-05-09,29242.82,863914600
