Security,SPX Index,
Start Date,12/30/27 0:00,
End Date,4/4/24 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
2024-04-04,5147.21,#N/A N/A
2024-04-03,5211.49,657756632
2024-04-02,5205.81,731371246
2024-04-01,5243.77,561031961
2024-03-28,5254.35,787104098
2024-03-27,5248.49,648229648
2024-03-26,5203.58,670805580
2024-03-25,5218.19,603327469
2024-03-22,5234.18,588747926
2024-03-21,5241.53,718142030
2024-03-20,5224.62,658696240
2024-03-19,5178.51,742925252
2024-03-18,5149.42,784047674
2024-03-15,5117.09,2699996659
2024-03-14,5150.48,830838311
2024-03-13,5165.31,762052392
2024-03-12,5175.27,638546850
2024-03-11,5117.94,603068481
2024-03-08,5123.69,678455576
2024-03-07,5157.36,659799460
2024-03-06,5104.76,700289090
2024-03-05,5078.65,743286484
2024-03-04,5130.95,751185450
2024-03-01,5137.08,687218784
2024-02-29,5096.27,1285581876
2024-02-28,5069.76,564440544
2024-02-27,5078.18,574728854
2024-02-26,5069.53,623644768
2024-02-23,5088.8,633418439
2024-02-22,5087.03,728724112
2024-02-21,4981.8,618518026
2024-02-20,4975.51,696451427
2024-02-16,5005.57,683361708
2024-02-15,5029.73,668366860
2024-02-14,5000.62,644907004
2024-02-13,4953.17,689444106
2024-02-12,5021.84,600435425
2024-02-09,5026.61,633865687
2024-02-08,4997.91,641191844
2024-02-07,4995.06,693459419
2024-02-06,4954.23,636054578
2024-02-05,4942.81,699814958
2024-02-02,4958.61,742829415
2024-02-01,4906.19,720837864
2024-01-31,4845.65,1075732775
2024-01-30,4924.97,648024028
2024-01-29,4927.93,629745728
2024-01-26,4890.97,623980996
2024-01-25,4894.16,749967986
2024-01-24,4868.55,682971998
2024-01-23,4864.6,596555898
2024-01-22,4850.43,701376031
2024-01-19,4839.81,840591395
2024-01-18,4780.94,690191784
2024-01-17,4739.21,600707347
2024-01-16,4765.98,709069725
2024-01-12,4783.83,588398855
2024-01-11,4780.24,639362905
2024-01-10,4783.45,594304429
2024-01-09,4756.5,627224821
2024-01-08,4763.54,699080100
2024-01-05,4697.24,650594292
2024-01-04,4688.68,693014905
2024-01-03,4704.81,696024599
2024-01-02,4742.83,707023582
2023-12-29,4769.83,551130242
2023-12-28,4783.35,412883803
2023-12-27,4781.58,477164240
2023-12-26,4774.75,383600823
2023-12-22,4754.63,478035162
