Security,SHCOMP Index,
Start Date,12/19/90 0:00,
End Date,4/9/24 0:00,
Period,D,
Currency,CNY,
,,
Date,PX_LAST,PX_VOLUME
2024-04-09,3048.537,32612219873
2024-04-08,3047.052,39349480412
2024-04-03,3069.296,35431158589
2024-04-02,3074.958,35810297942
2024-04-01,3077.379,36685110121
2024-03-29,3041.167,32576540323
2024-03-28,3010.664,34441895824
2024-03-27,2993.139,33343150607
2024-03-26,3031.481,33610044095
2024-03-25,3026.305,37601916081
2024-03-22,3048.034,38356920803
2024-03-21,3077.113,35543979738
2024-03-20,3079.686,33861091476
2024-03-19,3062.756,37336582771
2024-03-18,3084.926,39784583832
2024-03-15,3054.636,35222746776
2024-03-14,3038.234,35518078597
2024-03-13,3043.835,35644121310
2024-03-12,3055.935,40559868955
2024-03-11,3068.455,35289703313
2024-03-08,3046.019,31011353541
2024-03-07,3027.401,36574888439
2024-03-06,3039.931,33238269006
2024-03-05,3047.793,37438724527
2024-03-04,3039.305,37812711478
2024-03-01,3027.021,36929374480
2024-02-29,3015.171,39862831535
2024-02-28,2957.852,52786604217
2024-02-27,3015.481,36103362701
2024-02-26,2977.022,39490081951
2024-02-23,3004.881,36755860072
2024-02-22,2988.358,34407862932
2024-02-21,2950.956,43283593893
2024-02-20,2922.73,34072894520
2024-02-19,2910.544,44719836234
2024-02-08,2865.903,51837741948
2024-02-07,2829.696,53509999543
2024-02-06,2789.486,49071470031
2024-02-05,2702.185,46982882291
2024-02-02,2730.152,41511836388
2024-02-01,2770.74,34454521307
2024-01-31,2788.548,36702058252
2024-01-30,2830.527,32473873096
2024-01-29,2883.356,39779859396
2024-01-26,2910.223,40850561798
2024-01-25,2906.109,42831813725
2024-01-24,2820.772,35465833048
2024-01-23,2770.976,29581084315
2024-01-22,2756.34,34054993315
2024-01-19,2832.279,25587759452
2024-01-18,2845.784,37907928396
2024-01-17,2833.615,25131540499
2024-01-16,2893.989,27583300632
2024-01-15,2886.291,23511753880
2024-01-12,2881.977,24908593134
2024-01-11,2886.65,25660170347
2024-01-10,2877.702,23566162657
2024-01-09,2893.251,25389977904
2024-01-08,2887.538,25992775033
2024-01-05,2929.183,29134999393
2024-01-04,2954.349,25610089667
2024-01-03,2967.247,27731271661
2024-01-02,2962.276,29523228596
2023-12-29,2974.935,28078861337
2023-12-28,2954.704,32763405400
2023-12-27,2914.614,23810738022
2023-12-26,2898.879,21841494223
2023-12-25,2918.813,21925504799
2023-12-22,2914.775,28371051740
2023-12-21,2918.715,27418732229
2023-12-20,2902.11,25718106478
2023-12-19,2932.391,25748178637
2023-12-18,2930.804,28531814848
2023-12-15,2942.557,28184750457
2023-12-14,2958.986,26507665263
2023-12-13,2968.76,27553593974
2023-12-12,3003.438,28091536120
2023-12-11,2991.438,35204320122
2023-12-08,2969.559,36021346849
2023-12-07,2966.206,28831058981
2023-12-06,2968.933,28627654191
2023-12-05,2972.296,28445745904
2023-12-04,3022.914,28121739725
2023-12-01,3031.636,27892972490
2023-11-30,3029.673,27429424715
2023-11-29,3021.688,27036834653
2023-11-28,3038.554,26082428838
2023-11-27,3031.7,30239025804
2023-11-24,3040.972,27957881749
2023-11-23,3061.856,26777074854
2023-11-22,3043.611,28071368994
2023-11-21,3067.933,32097150717
2023-11-20,3068.319,27809937477
2023-11-17,3054.365,25899824375
2023-11-16,3050.926,26274825378
2023-11-15,3072.835,29328168460
2023-11-14,3056.07,28543150090
2023-11-13,3046.533,28149247661
2023-11-10,3038.97,27636230042
2023-11-09,3053.279,30511897784
2023-11-08,3052.373,32450554686
2023-11-07,3057.27,31683737272
2023-11-06,3058.41,36309272602
2023-11-03,3030.798,26042837312
2023-11-02,3009.406,26063147937
2023-11-01,3023.076,27236362055
2023-10-31,3018.771,31183246501
2023-10-30,3021.553,35161341399
2023-10-27,3017.784,31266522647
2023-10-26,2988.299,28394557423
2023-10-25,2974.114,32394375490
2023-10-24,2962.244,30220715461
2023-10-23,2939.291,27028015978
2023-10-20,2983.059,25963852517
2023-10-19,3005.393,29464823047
2023-10-18,3058.71,25941594115
2023-10-17,3083.496,25001551680
2023-10-16,3073.813,25515218511
2023-10-13,3088.099,24668165526
2023-10-12,3107.901,26665798610
2023-10-11,3078.956,25205117124
2023-10-10,3075.236,24720488358
2023-10-09,3096.922,25618106733
2023-09-28,3110.475,22763204372
2023-09-27,3107.316,23130093313
2023-09-26,3102.273,21359385552
2023-09-25,3115.607,24779474209
2023-09-22,3132.432,27267533095
2023-09-21,3084.701,21868315531
2023-09-20,3108.568,21725231154
2023-09-19,3124.957,24395142794
2023-09-18,3125.932,24917494751
2023-09-15,3117.743,28120001923
2023-09-14,3126.551,25351663284
2023-09-13,3123.067,23974134301
2023-09-12,3137.059,22568416822
2023-09-11,3142.779,27862061289
2023-09-08,3116.719,21616431617
2023-09-07,3122.352,25745958346
2023-09-06,3158.077,25490730630
2023-09-05,3154.369,28184257584
2023-09-04,3177.06,35394136458
2023-09-01,3133.247,27851381208
2023-08-31,3119.876,29913311693
2023-08-30,3137.137,33249001925
2023-08-29,3135.887,38451081167
2023-08-28,3098.636,47089814330
2023-08-25,3064.075,28079633283
2023-08-24,3082.244,28778018151
2023-08-23,3078.402,25956278707
2023-08-22,3120.334,29419070865
2023-08-21,3092.978,25305393950
2023-08-18,3131.953,27905385127
2023-08-17,3163.739,28200155011
2023-08-16,3150.128,26789958005
2023-08-15,3176.176,25999342882
2023-08-14,3178.427,28891523149
2023-08-11,3189.248,31889978171
2023-08-10,3254.56,27502716706
2023-08-09,3244.487,26118930058
2023-08-08,3260.62,30659897455
2023-08-07,3268.831,34849568941
2023-08-04,3288.084,46004034738
2023-08-03,3280.463,37356688842
2023-08-02,3261.69,39455859607
2023-08-01,3290.949,44641981454
2023-07-31,3291.04,44712809337
2023-07-28,3275.926,40010807332
2023-07-27,3216.671,31742614583
2023-07-26,3223.028,30767957830
2023-07-25,3231.521,33927835340
2023-07-24,3164.161,20845533197
2023-07-21,3167.745,21627441852
2023-07-20,3169.522,22958393310
2023-07-19,3198.836,20934637350
2023-07-18,3197.82,22674067279
2023-07-17,3209.63,24155923675
2023-07-14,3237.701,25964148199
2023-07-13,3236.48,26365398165
2023-07-12,3196.134,25910313327
2023-07-11,3221.367,21644190932
2023-07-10,3203.696,22571667570
2023-07-07,3196.609,24272031851
2023-07-06,3205.575,23297707744
2023-07-05,3222.947,25175029743
2023-07-04,3245.349,26791607385
2023-07-03,3243.975,30176592349
2023-06-30,3202.062,25397512607
2023-06-29,3182.381,23924694842
2023-06-28,3189.376,26279379148
2023-06-27,3189.443,27540219112
2023-06-26,3150.619,29539189653
2023-06-21,3197.901,28143364747
2023-06-20,3240.365,28335332845
2023-06-19,3255.806,31142351218
2023-06-16,3273.334,30768284709
2023-06-15,3252.975,29593761181
2023-06-14,3228.989,28900105631
2023-06-13,3233.673,26652650250
2023-06-12,3228.834,29968515246
2023-06-09,3231.406,29972096561
2023-06-08,3213.586,28111623982
2023-06-07,3197.759,24710220499
2023-06-06,3195.34,29501316965
2023-06-05,3232.441,26641524844
2023-06-02,3230.069,28168184807
2023-06-01,3204.635,29779484753
2023-05-31,3204.564,27977423499
2023-05-30,3224.213,29074600812
2023-05-29,3221.448,28592129918
2023-05-26,3212.504,24985987003
2023-05-25,3201.26,27069600383
2023-05-24,3204.75,27628972559
2023-05-23,3246.238,26344478192
2023-05-22,3296.469,26132795586
2023-05-19,3283.542,27042720292
2023-05-18,3297.32,29580769316
2023-05-17,3284.232,27307405251
2023-05-16,3290.987,30868079811
2023-05-15,3310.737,37425604419
2023-05-12,3272.362,33435855159
2023-05-11,3309.551,33820267533
2023-05-10,3319.151,43106011450
2023-05-09,3357.671,55909986023
2023-05-08,3395.004,52016222140
2023-05-05,3334.503,42190789486
2023-05-04,3350.459,47283189161
2023-04-28,3323.275,39100573404
2023-04-27,3285.884,33098653818
2023-04-26,3264.101,34715739232
2023-04-25,3264.872,36829752704
2023-04-24,3275.413,34214958904
2023-04-21,3301.258,36994972464
2023-04-20,3367.031,33439166050
2023-04-19,3370.128,33203886659
2023-04-18,3393.331,33377296525
2023-04-17,3385.61,38701701885
2023-04-14,3338.153,32228974127
2023-04-13,3318.364,33277894984
2023-04-12,3327.182,32837472071
2023-04-11,3313.571,30545120085
2023-04-10,3315.358,31995047868
2023-04-07,3327.646,27008027535
2023-04-06,3312.628,31294428829
2023-04-04,3312.558,37057633044
2023-04-03,3296.396,34396606927
2023-03-31,3272.86,27193490834
2023-03-30,3261.249,28594718468
2023-03-29,3240.057,28213125949
2023-03-28,3245.376,28497724070
2023-03-27,3251.397,32575180764
2023-03-24,3265.654,31219186422
2023-03-23,3286.649,29343305315
2023-03-22,3265.748,27925278601
2023-03-21,3255.65,29119709557
2023-03-20,3234.91,38003277607
2023-03-17,3250.546,33062521745
2023-03-16,3226.891,31656019744
2023-03-15,3263.315,29415015369
2023-03-14,3245.312,30861591668
2023-03-13,3268.696,28356961134
2023-03-10,3230.077,27029462078
2023-03-09,3276.094,25351668913
2023-03-08,3283.248,24991796021
2023-03-07,3285.099,37790455975
2023-03-06,3322.026,32946266266
2023-03-03,3328.393,33151800491
2023-03-02,3310.654,31499667269
2023-03-01,3312.348,30765791682
2023-02-28,3279.605,24308148558
2023-02-27,3258.034,23449623057
2023-02-24,3267.16,22576274751
2023-02-23,3287.477,25418390094
2023-02-22,3291.148,24597173243
2023-02-21,3306.524,31432331623
2023-02-20,3290.338,31399216362
2023-02-17,3224.024,26858339892
2023-02-16,3249.03,36583026250
2023-02-15,3280.492,25897992763
2023-02-14,3293.283,26007427176
2023-02-13,3284.16,28624253583
2023-02-10,3260.673,24782443953
2023-02-09,3270.383,24149961493
2023-02-08,3232.106,22377278706
2023-02-07,3248.094,24146199374
2023-02-06,3238.698,25814810405
2023-02-03,3263.406,28252259575
2023-02-02,3285.67,31937161333
2023-02-01,3284.921,32632310608
2023-01-31,3255.669,28931726362
2023-01-30,3269.318,34164974356
2023-01-20,3264.814,26402722575
2023-01-19,3240.279,21714559248
2023-01-18,3224.406,20301359763
2023-01-17,3224.245,21571586629
2023-01-16,3227.592,29458817844
2023-01-13,3195.306,21049693204
2023-01-12,3163.451,20753615840
2023-01-11,3161.838,22709927674
2023-01-10,3169.507,22269181448
2023-01-09,3176.084,24721828027
2023-01-06,3157.636,24603489198
2023-01-05,3155.216,24661083179
2023-01-04,3123.516,26270560796
2023-01-03,3116.512,26803997557
2022-12-30,3089.258,20692380823
2022-12-29,3073.702,20518350689
2022-12-28,3087.4,21394468727
2022-12-27,3095.568,21250089617
2022-12-26,3065.563,19692621129
2022-12-23,3045.866,18443961180
2022-12-22,3054.431,21499729650
2022-12-21,3068.41,18089995758
2022-12-20,3073.766,20924179951
2022-12-19,3107.115,26863820279
2022-12-16,3167.858,24816839793
2022-12-15,3168.648,23046156938
2022-12-14,3176.525,25383138558
2022-12-13,3176.325,27580732729
2022-12-12,3179.042,32079172115
2022-12-09,3206.95,36038692015
2022-12-08,3197.35,30699130333
2022-12-07,3199.619,34085434602
2022-12-06,3212.533,35862291392
2022-12-05,3211.814,43091375158
2022-12-02,3156.144,29225265583
2022-12-01,3165.471,36709798380
2022-11-30,3151.335,35758527072
2022-11-29,3149.748,37644157345
2022-11-28,3078.549,29215030160
2022-11-25,3101.693,29821977402
2022-11-24,3089.31,25450493299
2022-11-23,3096.907,31318237676
2022-11-22,3088.943,31290634376
2022-11-21,3085.044,24459361954
2022-11-18,3097.243,28568757326
2022-11-17,3115.435,27328884238
2022-11-16,3119.98,29111275051
2022-11-15,3134.078,31880129650
2022-11-14,3083.401,34950206798
2022-11-11,3087.292,39059875719
2022-11-10,3036.132,25629369827
2022-11-09,3048.167,22326265261
2022-11-08,3064.493,24539148840
2022-11-07,3077.817,30658675327
2022-11-04,3070.796,31570469337
2022-11-03,2997.806,24844668926
2022-11-02,3003.37,31111928520
2022-11-01,2969.199,30817422243
2022-10-31,2893.483,29014446490
2022-10-28,2915.926,28160931231
2022-10-27,2982.903,25344118004
2022-10-26,2999.504,25493784506
2022-10-25,2976.283,24344619885
2022-10-24,2977.555,28416077453
2022-10-21,3038.929,23068181240
2022-10-20,3035.05,22939196782
2022-10-19,3044.378,21725816566
2022-10-18,3080.958,22944826118
2022-10-17,3084.942,24826229022
2022-10-14,3071.987,26364968568
2022-10-13,3016.356,23836247109
2022-10-12,3025.506,23625935276
2022-10-11,2979.792,19848718002
2022-10-10,2974.146,23159628661
2022-09-30,3024.39,19095228651
2022-09-29,3041.205,21972936523
2022-09-28,3045.067,21824701218
2022-09-27,3093.862,22020587253
2022-09-26,3051.226,24771009989
2022-09-23,3088.369,23189871751
2022-09-22,3108.91,21151678626
2022-09-21,3117.177,22199070421
2022-09-20,3122.406,21081937345
2022-09-19,3115.602,23786464103
2022-09-16,3126.398,30570576339
2022-09-15,3199.919,31186968051
2022-09-14,3237.542,24235262377
2022-09-13,3263.797,26545763454
2022-09-09,3262.054,27383468409
2022-09-08,3235.586,27077868609
2022-09-07,3246.294,29006723427
2022-09-06,3243.447,30844409741
2022-09-05,3199.912,27002881924
2022-09-02,3186.478,23983942031
2022-09-01,3184.98,26386074140
2022-08-31,3202.138,33177437839
2022-08-30,3227.22,28182916227
2022-08-29,3240.728,28415639788
2022-08-26,3236.223,29698825359
2022-08-25,3246.248,32165554301
2022-08-24,3215.203,34943906856
2022-08-23,3276.223,30017483953
2022-08-22,3277.794,29850033994
2022-08-19,3258.078,31607812651
2022-08-18,3277.544,28516385892
2022-08-17,3292.526,31040212956
2022-08-16,3277.885,28612641653
2022-08-15,3276.087,27366576923
2022-08-12,3276.888,28503775586
2022-08-11,3281.665,28793725500
2022-08-10,3230.02,24500120416
2022-08-09,3247.432,24510295930
2022-08-08,3236.934,24080426591
2022-08-05,3227.027,25862127500
2022-08-04,3189.039,24729402450
2022-08-03,3163.674,30955410155
2022-08-02,3186.266,37618737334
2022-08-01,3259.958,27928223695
2022-07-29,3253.238,29385331689
2022-07-28,3282.576,27401898944
2022-07-27,3275.755,23557492191
2022-07-26,3277.436,24691454274
2022-07-25,3250.388,25896458177
2022-07-22,3269.974,28760752657
2022-07-21,3272.001,31881031221
2022-07-20,3304.724,28947977351
2022-07-19,3279.431,30321188168
2022-07-18,3278.103,33431629797
2022-07-15,3228.061,36523964042
2022-07-14,3281.744,34353199067
2022-07-13,3284.292,32015956267
2022-07-12,3281.467,32238294632
2022-07-11,3313.584,32958398531
2022-07-08,3356.078,30970299364
2022-07-07,3364.398,31968766763
2022-07-06,3355.35,36710844611
2022-07-05,3404.025,39559388159
2022-07-04,3405.427,34398484796
2022-07-01,3387.637,33590933314
2022-06-30,3398.616,36423770397
2022-06-29,3361.518,42328349960
2022-06-28,3409.21,39601683441
2022-06-27,3379.185,39791392572
2022-06-24,3349.747,37492640809
2022-06-23,3320.149,38576272992
2022-06-22,3267.202,35934738895
2022-06-21,3306.719,37903376296
2022-06-20,3315.43,39611893547
2022-06-17,3316.786,37836462936
2022-06-16,3285.385,41338193168
2022-06-15,3305.406,52460261941
2022-06-14,3288.906,43186393482
2022-06-13,3255.551,42064722304
2022-06-10,3284.834,41849313344
2022-06-09,3238.954,40264903002
2022-06-08,3263.793,41126474970
2022-06-07,3241.763,37651428653
2022-06-06,3236.372,39381728388
2022-06-02,3195.458,33591688013
2022-06-01,3182.156,34469588160
2022-05-31,3186.427,35387176928
2022-05-30,3149.061,33023908698
2022-05-27,3130.24,33858235842
2022-05-26,3123.108,34878000149
