Security,SPX Index,
Start Date,12/30/2022 0:00,
End Date,1/1/2024 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
12/29/2023,4769.83,551130242
12/28/2023,4783.35,412883803
12/27/2023,4781.58,477164240
12/26/2023,4774.75,383600823
12/22/2023,4754.63,478035162
12/21/2023,4746.75,598987758
12/20/2023,4698.35,740948509
12/19/2023,4768.37,683293471
12/18/2023,4740.56,704963485
12/15/2023,4719.19,2527894869
12/14/2023,4719.55,1051807579
12/13/2023,4707.09,822110084
12/12/2023,4643.7,641078562
12/11/2023,4622.44,710937555
12/8/2023,4604.37,650108320
12/7/2023,4585.59,654683633
12/6/2023,4549.34,642728555
12/5/2023,4567.18,636082851
12/4/2023,4569.78,709338112
12/1/2023,4594.63,685637998
11/30/2023,4567.8,1436340554
11/29/2023,4550.58,614760148
11/28/2023,4554.89,581626011
11/27/2023,4550.43,571787308
11/24/2023,4559.34,245075445
11/22/2023,4556.62,494987908
11/21/2023,4538.19,535650418
11/20/2023,4547.38,616318672
11/17/2023,4514.02,698733690
11/16/2023,4508.24,663470192
11/15/2023,4502.88,698146847
11/14/2023,4495.7,726733609
11/13/2023,4411.55,521106319
11/10/2023,4415.24,633584199
11/9/2023,4347.35,643214618
11/8/2023,4382.78,630146615
11/7/2023,4378.38,627378808
11/6/2023,4365.98,600478338
11/3/2023,4358.34,710334973
11/2/2023,4317.78,768438594
11/1/2023,4237.86,776970113
10/31/2023,4193.8,790575673
10/30/2023,4166.82,657366692
10/27/2023,4117.37,731596656
10/26/2023,4137.23,799202538
10/25/2023,4186.77,722041201
10/24/2023,4247.68,636529260
10/23/2023,4217.04,622435533
10/20/2023,4224.16,847181188
10/19/2023,4278,705716397
10/18/2023,4314.6,630081238
10/17/2023,4373.2,643476734
10/16/2023,4373.63,591931232
10/13/2023,4327.78,625106773
10/12/2023,4349.61,581217483
10/11/2023,4376.95,554261203
10/10/2023,4358.24,578886240
10/9/2023,4335.66,530663733
10/6/2023,4308.5,675263374
10/5/2023,4258.19,605584966
10/4/2023,4263.75,649738600
10/3/2023,4229.45,642211079
10/2/2023,4288.39,674495263
9/29/2023,4288.05,735724635
9/28/2023,4299.7,571201268
9/27/2023,4274.51,637394116
9/26/2023,4273.53,602316295
9/25/2023,4337.44,520438772
9/22/2023,4320.06,602353911
9/21/2023,4330,645438893
9/20/2023,4402.2,531420608
9/19/2023,4443.95,591605661
9/18/2023,4453.53,582598070
9/15/2023,4450.32,2086889231
9/14/2023,4505.1,666838704
9/13/2023,4467.44,638751478
9/12/2023,4461.9,572264222
9/11/2023,4487.46,564284803
9/8/2023,4457.49,543363986
9/7/2023,4451.14,691843950
9/6/2023,4465.48,569685011
9/5/2023,4496.83,590442499
9/1/2023,4515.77,558053430
8/31/2023,4507.66,801082058
8/30/2023,4514.87,480081582
8/29/2023,4497.63,543841996
8/28/2023,4433.31,449237158
8/25/2023,4405.71,561105998
8/24/2023,4376.31,628411113
8/23/2023,4436.01,571896457
8/22/2023,4387.55,496400726
8/21/2023,4399.77,540501196
8/18/2023,4369.71,652429144
8/17/2023,4370.36,586046326
8/16/2023,4404.33,525773974
8/15/2023,4437.86,531415338
8/14/2023,4489.72,540853380
8/11/2023,4464.05,482233474
8/10/2023,4468.83,523485454
8/9/2023,4467.71,564477601
8/8/2023,4499.38,567521642
8/7/2023,4518.44,539376272
8/4/2023,4478.03,634868167
8/3/2023,4501.89,625407459
8/2/2023,4513.39,694274378
8/1/2023,4576.73,584666104
7/31/2023,4588.96,823449657
7/28/2023,4582.23,647234729
7/27/2023,4537.41,713687682
7/26/2023,4566.75,614526566
7/25/2023,4567.46,597126166
7/24/2023,4554.64,550797536
7/21/2023,4536.34,1153304016
7/20/2023,4534.87,689496830
7/19/2023,4565.72,681026287
7/18/2023,4554.98,655711511
7/17/2023,4522.79,581421430
7/14/2023,4505.42,597991644
7/13/2023,4510.04,581152125
7/12/2023,4472.16,644785305
7/11/2023,4439.26,570808301
7/10/2023,4409.53,617756573
7/7/2023,4398.95,639449189
7/6/2023,4411.59,624424831
7/5/2023,4446.82,596207157
7/3/2023,4455.59,336170315
6/30/2023,4450.38,772964875
6/29/2023,4396.44,556987636
6/28/2023,4376.86,596763176
6/27/2023,4378.41,610540624
6/26/2023,4328.82,615647686
6/23/2023,4348.33,1102248607
6/22/2023,4381.89,560134153
6/21/2023,4365.69,701610605
6/20/2023,4388.71,725393256
6/16/2023,4409.59,2045540605
6/15/2023,4425.84,748295367
6/14/2023,4372.59,727422361
6/13/2023,4369.01,658428877
6/12/2023,4338.93,661476814
6/9/2023,4298.86,578353328
6/8/2023,4293.93,592889909
6/7/2023,4267.52,742367269
6/6/2023,4283.85,581027111
6/5/2023,4273.79,597332929
6/2/2023,4282.37,705674299
6/1/2023,4221.02,720758201
5/31/2023,4179.83,1762055659
5/30/2023,4205.52,682208422
5/26/2023,4205.45,696802591
5/25/2023,4151.28,742956859
5/24/2023,4115.24,582283061
5/23/2023,4145.58,625447278
5/22/2023,4192.63,558748206
5/19/2023,4191.98,685778027
5/18/2023,4198.05,653367048
5/17/2023,4158.77,665798957
5/16/2023,4109.9,561421418
5/15/2023,4136.28,542788546
5/12/2023,4124.08,552093777
5/11/2023,4130.62,590608874
5/10/2023,4137.64,630971185
5/9/2023,4119.17,580390286
5/8/2023,4138.12,541650020
5/5/2023,4136.25,661637743
5/4/2023,4061.22,727002283
5/3/2023,4090.75,680765237
5/2/2023,4119.58,684397559
5/1/2023,4167.87,601566286
4/28/2023,4169.48,787608270
4/27/2023,4135.35,702603285
4/26/2023,4055.99,687858779
4/25/2023,4071.63,652256285
4/24/2023,4137.04,546190361
4/21/2023,4133.52,673695731
4/20/2023,4129.79,650426296
4/19/2023,4154.52,544963738
4/18/2023,4154.87,557170578
4/17/2023,4151.32,570112694
4/14/2023,4137.64,565824739
4/13/2023,4146.22,623387846
4/12/2023,4091.95,590457622
4/11/2023,4108.94,538398239
4/10/2023,4109.11,530133222
4/6/2023,4105.02,567174261
4/5/2023,4090.38,648894831
4/4/2023,4100.6,623143201
4/3/2023,4124.51,656322603
3/31/2023,4109.31,805421222
3/30/2023,4050.83,535941328
3/29/2023,4027.81,626882401
3/28/2023,3971.27,510304653
3/27/2023,3977.53,640358337
3/24/2023,3970.99,686692170
3/23/2023,3948.72,761870844
3/22/2023,3936.97,692852985
3/21/2023,4002.87,815755012
3/20/2023,3951.57,809318155
3/17/2023,3916.64,2635067540
3/16/2023,3960.28,933059347
3/15/2023,3891.93,999772376
3/14/2023,3919.29,935067941
3/13/2023,3855.76,1009987819
3/10/2023,3861.59,833959877
3/9/2023,3918.32,687977276
3/8/2023,3992.01,539008248
3/7/2023,3986.37,621492593
3/6/2023,4048.42,612740212
3/3/2023,4045.64,618166137
3/2/2023,3981.35,610373912
3/1/2023,3951.39,605989833
2/28/2023,3970.15,976126672
2/27/2023,3982.24,553023498
2/24/2023,3970.04,603607841
2/23/2023,4012.32,619624415
2/22/2023,3991.05,618373661
2/21/2023,3997.34,681820082
2/17/2023,4079.09,672640488
2/16/2023,4090.41,604958840
2/15/2023,4147.6,560590364
2/14/2023,4136.13,596475366
2/13/2023,4137.29,601223890
2/10/2023,4090.46,615231190
2/9/2023,4081.5,689749135
2/8/2023,4117.86,651034169
2/7/2023,4164,675865264
2/6/2023,4111.08,590026670
2/3/2023,4136.48,735516487
2/2/2023,4179.76,845209740
2/1/2023,4119.21,791134659
1/31/2023,4076.6,949382016
1/30/2023,4017.77,591870717
1/27/2023,4070.56,627301536
1/26/2023,4060.43,609400783
1/25/2023,4016.22,612496177
1/24/2023,4016.95,485960316
1/23/2023,4019.81,615965463
1/20/2023,3972.61,831430861
1/19/2023,3898.85,661096852
1/18/2023,3928.86,673911697
1/17/2023,3990.97,678250927
1/13/2023,3999.09,573948029
1/12/2023,3983.17,632425453
1/11/2023,3969.61,640790420
1/10/2023,3919.25,551554241
1/9/2023,3892.09,668427994
1/6/2023,3895.08,662209787
1/5/2023,3808.1,632401697
1/4/2023,3852.97,721505963
1/3/2023,3824.14,661196995
12/30/2022,3839.5,511646744
