returns,volatilities,L(t)
-44,44,-1.0
-21,21,-0.9999999999999999
-74,74,-0.307262707496056
51,51,-0.05422647571699762
60,60,-0.1582017758418952
22,22,-0.16799133199667318
8,8,-0.15515932940339616
3,3,-0.1208119326839991
-8,8,-0.09238304168473306
-18,18,-0.0961299560113763
-33,33,-0.10290217816900697
28,28,-0.18495329944524483
-52,52,-0.17140190086752882
-26,26,-0.17216971700126113
30,30,0.0776995411204142
73,73,0.08919720760104916
-9,9,0.1257777427540917
47,47,0.1390212170695444
-24,24,0.12090766455727443
18,18,0.12963032695291163
-26,26,0.1126876845781338
13,13,0.11858742369812549
-6,6,0.10843208829982941
23,23,0.1177853296416197
36,36,0.12831640095888136
-9,9,0.12209429589023636
25,25,0.11220570409733387
13,13,0.1038687701538367
-32,32,0.11010254116588356
-23,23,0.10249454213827501
-32,32,0.10974196086772518
34,34,0.11068951561632295
-2,2,0.12749031066400388
39,39,0.07041071611211383
-50,50,0.06156376740300962
11,11,0.0672755054293774
-6,6,0.06504826374545178
-29,29,0.07280086074179408
34,34,0.07316464550488014
-1,1,-0.06086146981326299
-74,74,-0.05765066953568635
-3,3,-0.053450192530635876
-5,5,-0.0533470635110425
27,27,-0.04676140002960155
-13,13,-0.04237953237599657
-21,21,-0.04372834793295813
25,25,-0.042431780263963166
-1,1,-0.04192248512792741
-26,26,-0.06516031000618706
-44,44,-0.06168847706852836
-6,6,-0.06639630814778022
7,7,-0.07261172018877614
-33,33,-0.07804962683661837
15,15,-0.0004334706211472052
64,64,-0.00465101574604327
19,19,0.012370812759252725
41,41,0.009407664316452796
5,5,0.007349190537774377
23,23,0.006416464667803878
2,2,0.0021728771117264165
14,14,-0.004574863319943076
-33,33,0.1109986510869889
84,84,0.09342607577118357
-42,42,0.09307042674580723
27,27,0.08937429927686104
18,18,0.0854142856172633
13,13,0.08531509285376179
27,27,0.09085792713887116
35,35,0.08974624061272603
3,3,0.09522425025568183
35,35,0.09429316850079879
-27,27,0.09087696422697933
13,13,0.08788476867860427
18,18,0.08750747451114478
26,26,0.08888274792493382
-1,1,0.08587688856545027
14,14,0.08450082680516798
-27,27,0.0884863687547812
-11,11,0.09127416045353863
31,31,0.10330411887117734
42,42,0.10590698742699219
-4,4,0.10202902175243071
-30,30,0.09949924823550337
18,18,0.09697764682042552
10,10,0.09967845462065587
31,31,0.09848561369153032
5,5,0.10470007454955284
36,36,0.1083635525174817
-14,14,0.1108634301197945
-4,4,0.10823011207009318
-28,28,0.11011670616534872
-20,20,0.11155574526924787
-21,21,0.11375998466519792
30,30,0.11122850134575481
12,12,0.11000721134261286
22,22,0.11151040077893433
-2,2,0.10968025208337061
19,19,0.11290421207162245
-9,9,0.1123237737582672
3,3,0.11047237849900615
18,18,0.11257646917536931
-18,18,0.11533201513951406
-15,15,0.11781480876724669
-6,6,0.1042874904543814
-39,39,0.05603111266389154
-62,62,0.05866130567177746
-15,15,0.056384896770637814
13,13,0.0496201665821463
-34,34,0.047350940888632655
12,12,0.0480313829741561
-22,22,0.04686740970910088
-26,26,0.049294120260031514
-15,15,0.05177042565118578
-14,14,0.042701545129099766
-37,37,0.03306079870152239
-38,38,0.05975231636013247
55,55,0.06135075797064781
-19,19,0.06356148698454737
-9,9,0.06118646268180237
13,13,0.06240430306645482
-4,4,0.061882666969171156
1,1,0.06305832170892545
-4,4,0.06088816992917153
10,10,0.056740171279500415
-31,31,0.058971717508010266
29,29,0.05706413387759424
16,16,0.011784450335596906
-66,66,0.013734167922604264
-8,8,0.011907171235971053
16,16,0.017669160950294045
35,35,0.018087816310512476
25,25,0.015138812997134357
-30,30,0.015598329874204633
-1,1,0.014612708559929856
-26,26,0.004867486731366336
-40,40,0.002862436683867574
11,11,0.013772741722067274
42,42,0.028727026087306463
47,47,0.027954670099961876
3,3,0.02744163814655811
-25,25,0.028707961428551875
-19,19,0.026791056442963194
13,13,0.020374906931027788
-36,36,0.05777439125055589
67,67,0.055988608387535645
9,9,0.03778885705965105
