returns,volatilities,L(t)
46,46,1.0
-21,21,0.8461538461538463
26,26,0.8675467596921147
-12,12,0.751007170758625
11,11,0.6880055130532011
6,6,0.6582819950111157
12,12,0.6835401275791579
-10,10,0.34529562701755623
-32,32,0.659008540295669
64,64,0.6735786058889336
-9,9,0.6547377378711519
13,13,0.6652678245237692
-12,12,0.6723237001804123
-13,13,0.6355022593840594
-23,23,0.45570622377255693
-39,39,0.4621516365372831
-16,16,0.30717394915521445
-42,42,0.28261538364890965
1,1,0.28406721784498323
-7,7,0.32840430122723885
36,36,0.3130547126274068
0,0,0.3006472577470772
15,15,0.28777668440221066
13,13,0.09855106890368302
-52,52,0.023499199868225677
-42,42,0.012361940135754753
4,4,0.005560667228651263
1,1,0.009511534022229332
-17,17,0.012271353988578785
-6,6,0.016641140523294108
-15,15,-0.09601460739955929
-53,53,-0.054693483148030485
35,35,-0.06007224139182432
17,17,-0.06801104500390544
5,5,-0.08436293147856623
-31,31,0.1887280930308044
83,83,0.1808505352905293
13,13,0.1745212363375911
3,3,0.17318471226635065
22,22,0.17687954766716138
-9,9,0.17032298649854452
12,12,0.17121254899207244
-4,4,0.16849542777455678
19,19,0.17231705717810317
-10,10,0.07905217115114128
-56,56,0.07476248378875583
16,16,0.07483043093494181
22,22,0.07073725169277258
-25,25,0.18317551771575244
70,70,0.18248639345364345
-22,22,0.18491452345937387
-17,17,0.133994855638212
-49,49,0.15208789097158265
39,39,0.15465737467838478
-8,8,0.14892321926308866
-28,28,0.1465171621201846
-25,25,0.1481769212094331
-7,7,0.14158573881305955
-29,29,0.16699134157261064
44,44,0.16177339306747449
13,13,0.16770741929651742
31,31,0.16461042047208058
19,19,0.16304285537247395
-1,1,0.18258012027926349
42,42,0.18429605017861084
-6,6,0.17761293467877176
-29,29,0.1804822569703774
-13,13,0.18318661508589718
-11,11,0.17925204814765083
15,15,0.17494549713903262
12,12,0.17549790399059378
-4,4,0.17135151047513592
9,9,0.17651489563174824
30,30,0.17920213795364376
-11,11,0.167112142637898
-33,33,0.16502457202405663
19,19,0.1664050300388198
-18,18,0.2019167704079163
53,53,0.19910235330039416
-25,25,0.20981179752551085
37,37,0.19470906132775437
-36,36,0.20111229276500833
33,33,0.1995874999154486
21,21,0.1703996536866645
-45,45,0.15151939735395697
-40,40,0.1495313094841943
20,20,0.1521067822132045
-13,13,0.15406804446291392
-8,8,0.11512463903665165
-52,52,0.11143871980988344
11,11,0.10872098475322167
17,17,0.11891259351101428
37,37,0.11610036849516758
5,5,0.11453262455880012
1,1,0.11137245541416772
9,9,0.11225373522815758
-4,4,0.10996967613505257
4,4,0.11119531759461969
-5,5,0.16280924688425474
66,66,0.16318018353541197
-3,3,0.16437551124143557
26,26,0.16168239564623277
-26,26,0.15333074448161352
-33,33,0.17790213908940058
52,52,0.17819138133650175
-3,3,0.16490075142936989
-38,38,0.16214695290204975
9,9,0.16201047267079433
-2,2,0.16109357715779854
21,21,0.11999877823871477
-57,57,0.11134629743118418
-35,35,0.11277939374320815
-7,7,0.11466281894290051
-11,11,0.1311741512120368
46,46,0.1299428201765555
20,20,0.11966069096515661
-37,37,0.12158306730167924
28,28,0.10970883984400748
-39,39,0.10194636183514312
-35,35,0.10019434810847001
3,3,0.10077798194460165
-4,4,0.10196557844030081
-18,18,0.09953352472455834
8,8,0.09808394929042438
2,2,0.09608941992566941
5,5,0.09384992846076251
13,13,0.09538761709331146
-15,15,0.09680329631909022
-8,8,0.08546163509450039
-39,39,0.08459206813451892
-24,24,0.08449496154871262
-22,22,0.05373188067873247
-56,56,0.05415904612182023
-4,4,0.05397744658616761
-2,2,0.051732216595873654
8,8,0.050194336507570575
17,17,0.05091787990729879
-5,5,0.049271710320377915
-26,26,0.04717132349052278
7,7,0.04860791029391101
-13,13,0.05001991341009712
-13,13,0.04881794162879857
18,18,0.04801173841716141
0,0,0.04789957985634356
-2,2,0.04918916632339065
-14,14,0.05052508139441953
-11,11,0.04848581907838603
8,8,0.04804249624344989
-1,1,0.046315836135521024
5,5,0.04239315824286145
-30,30,0.05410428585533925
41,41,0.04782846631022858
-34,34,0.06552225170819588
48,48,0.0647087238577536
19,19,0.06353709968932215
2,2,0.06435878663462784
-6,6,0.06273403494694631
14,14,0.06159071890883082
17,17,0.06457266865621021
29,29,0.06352425158928643
-24,24,0.06350793301349832
-2,2,0.06696686937738866
30,30,0.06626264921791643
-23,23,0.06483806716391054
-25,25,0.06057831829661706
-31,31,0.059642875831237195
18,18,0.05808215393344877
14,14,0.05747632634060952
0,0,0.055737949852041425
9,9,0.056865797192463555
-14,14,0.055402590944289565
5,5,0.05385785329562266
13,13,0.05238303740929996
-25,25,0.05355840745714816
-10,10,0.03899369890561217
-45,45,0.0401578387652459
-12,12,0.040052569123437
-21,21,0.04115796258485213
-13,13,0.03762340904735925
-30,30,0.035956563704982646
7,7,0.034315688802192205
7,7,0.03956824521898077
33,33,0.0406642050744613
-10,10,0.013478022815892656
-58,58,0.012510487184434836
2,2,0.011432201052222538
16,16,0.009870579406127376
11,11,0.012057548245974412
27,27,0.010753018545543743
5,5,0.06765153902507216
81,81,0.06815642869170883
-18,18,0.06912467590649744
-9,9,0.07006621055475232
-14,14,0.06856873372154394
11,11,0.06875085975886754
22,22,0.06977047462097863
-12,12,0.07078250500805049
-11,11,0.06959424675418997
4,4,0.07030891001757592
-16,16,0.07080904828283341
-5,5,0.07130233752177303
-5,5,0.06986306296447527
8,8,0.07072393166528389
24,24,0.07127625163820415
23,23,0.07010246894707568
14,14,0.06933467813736893
-23,23,0.09397140686199648
60,60,0.10357296910051361
43,43,0.1023192075901345
6,6,0.10298293787276787
-6,6,0.08770976578494065
-48,48,0.07965627665254005
-39,39,0.07179889403259655
-39,39,0.07207232289414567
-19,19,0.06772924956853447
-33,33,0.060797299182138054
-38,38,0.0593974273272539
10,10,0.05885959752231438
0,0,0.05754448500932631
7,7,0.057285304865134654
20,20,0.09007097922460686
70,70,0.08272064305354855
-39,39,0.0777032827830045
-35,35,0.07799819075579352
-19,19,0.07883797741423347
-10,10,0.07750218891526593
8,8,0.0782242244002661
-8,8,0.07856051353651816
23,23,0.07928587069584031
-8,8,0.028665999862420608
-83,83,0.02807219963460478
1,1,0.028792310882374
-8,8,0.027936102335156046
3,3,0.028476721465172872
-6,6,0.029011045171497447
-6,6,0.02414156369468222
